00000 '0',
00001 '1',
00010 '2',
00011 'a',
00100 'c',
00101 'e',
00110 'i',
00111 'o',
01000 's',
01001 't',
010100 ' ',
010101 '%',
010110 '-',
010111 '.',
011000 '/',
011001 '3',
011010 '4',
011011 '5',
011100 '6',
011101 '7',
011110 '8',
011111 '9',
100000 '=',
100001 'A',
100010 '_',
100011 'b',
100100 'd',
100101 'f',
100110 'g',
100111 'h',
101000 'l',
101001 'm',
101010 'n',
101011 'p',
101100 'r',
101101 'u',
1011100 ':',
1011101 'B',
1011110 'C',
1011111 'D',
1100000 'E',
1100001 'F',
1100010 'G',
1100011 'H',
1100100 'I',
1100101 'J',
1100110 'K',
1100111 'L',
1101000 'M',
1101001 'N',
1101010 'O',
1101011 'P',
1101100 'Q',
1101101 'R',
1101110 'S',
1101111 'T',
1110000 'U',
1110001 'V',
1110010 'W',
1110011 'Y',
1110100 'j',
1110101 'k',
1110110 'q',
1110111 'v',
1111000 'w',
1111001 'x',
1111010 'y',
1111011 'z',
11111000 '&',
11111001 '*',
11111010 ',',
11111011 ';',
11111100 'X',
11111101 'Z',
1111111000 '!',
1111111001 '"',
1111111010 '(',
1111111011 ')',
1111111100 '?',
11111111010 ''',
11111111011 '+',
11111111100 '|',
111111111010 '#',
111111111011 '>',
1111111111001 '$',
1111111111010 '@',
1111111111011 '[',
1111111111100 ']',
1111111111101 '~',
11111111111100 '^',
11111111111101 '}',
111111111111100 '<',
111111111111101 '`',
111111111111110 '{',
1111111111111110000 '\',
111111111111111111111111111111 'EOS',
